path	size_bytes
00-START-HERE-2026-08-29-FULL-V3.md	1008
ASAI-E3-E4-JET-FLIGHT-ORIGIN-V12.md	10080
ASAI-EPOXY-FRP-CAPABILITY-LEDGER-V1.xlsx	26296
ASAI-EPOXY-FRP-CAPABILITY-LEDGER-V2-COST.xlsx	33240
ASAI-GT-FRONT-SCALE-RATING-PRODUCTS-V14-COST.xlsx	46505
ASAI-SINGLE-REAR-JET-SIZING-V11.md	8161
CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md	9710
CURRENT-PRECEDENCE-2026-08-29-FULL-V3.tsv	1429
CURRENT-STATE-2026-08-29-FULL-V3.json	1242
OPEN-QUEUE-2026-08-29-FULL-V3.md	1270
archive-previous-overlay/CURRENT-HANDOFF-NOTES-2026-08-29-pre-naval-integration.md	3710
archive-previous-overlay/CURRENT-PRECEDENCE-2026-08-29.tsv	2298
archive-previous-overlay/CURRENT-STATE-2026-08-29.json	2492
archive-previous-overlay/DATA-ISSUE-REGISTER-2026-08-29.tsv	2067
asai-worldline-20260828-v48r3-marine-gt-processed-handoff-v10.zip	7354483
overlays/GROUND-DIESEL-FAMILY-D-A-D-D-V1.tsv	1636
overlays/GROUND-DUST-CLOSURE-DELTA-2026-08-29.tsv	1322
overlays/GROUND-DUST-COMPARISON-INPUTS-V1.tsv	2875
overlays/GROUND-DUST-INSTALLATION-D-A-D-D-V1.tsv	2600
overlays/GROUND-DUST-INSTALLATION-NOTE-V1.md	3885
overlays/MERCHANT-CARRIER-REGISTER-2026-08-29-V1.tsv	1297
overlays/NAVAL-COMMERCIAL-INTEGRATION-OVERLAY-V1.md	1419
reference/ASAI-AIRCRAFT-DESIGNATION-POLICY-V48-SOURCE.md	3482
reference/asai-works-seaplane-flyingboat-rebaseline-1940-44.md	7269
working/03-CARRIER-WORKING-CALCULATIONS.md	4913
working/07-asai-works-computation-commercial-diffusion-provisional.md	5779
working/19-CARRIER-BOOST-COMPARISON-V1.csv	5815
working/20-CARRIER-DECISION-PASS1.md	6448
working/MARINE-SURFACE-WORKING-NOTES.md	15827
working/NAVAL-COMPUTATION-WORKING-NOTES.md	5928
working/PROPULSION-WORKING-NOTES.md	8048
working/asai-works-gt-carrier-conversion.md	7711
working/asai-works-gt-carrier-physics.md	8166
working/asai-works-gt-carrier-range.md	7474
working/asai-works-gt-carrier-taiyo.md	16683
working/asai-works-surface-ship-large-marine-rebaseline-1934-41.md	15827
