authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-CURRENT.md	NOMONHAN-A3 / AUG22CORRIDOR1 current package
1	CURRENT-HIGHEST	Aug22 state	60-CURRENT-1939-COMBAT-REPLAY/14-1939-08-22-STATE-LEDGER-V8.tsv	current chronological checkpoint 1939-08-22 24:00
2	CURRENT-HIGHEST	Aug22 gate	60-CURRENT-1939-COMBAT-REPLAY/13-1939-08-22-OUTSIDE-RELIEF-CORRIDOR-GATE-V8.md	current outside-relief/corridor authority
3	CURRENT-HIGH	Aug22 event ledger	60-CURRENT-1939-COMBAT-REPLAY/13A-1939-08-22-EVENT-LEDGER-V8.tsv	machine-readable current replay
4	CURRENT-HIGH	Aug21 gate	60-CURRENT-1939-COMBAT-REPLAY/11-1939-08-21-CORRIDOR-RACE-GATE-V8.md	line-shortening/corridor-race authority
5	CURRENT-HIGH	Aug21 state	60-CURRENT-1939-COMBAT-REPLAY/12-1939-08-21-STATE-LEDGER-V8.tsv	pre-outside-relief checkpoint
6	CURRENT-HIGH	Aug20 gate	60-CURRENT-1939-COMBAT-REPLAY/09-1939-08-20-SOVIET-OFFENSIVE-DAY1-GATE-V8.md	repaired day-one Soviet offensive branch
7	CURRENT-HIGH	relative mobility	50-CURRENT-1939-1941-AIRPOWER-AUDIT/52-RELATIVE-MOBILITY-GEOMETRY-TIMING-CANON-V8.md	vehicle trajectory/timing authority
8	CURRENT-HIGH	photo/deep-fire	50-CURRENT-1939-1941-AIRPOWER-AUDIT/53-AERIAL-PHOTO-RECON-DEEP-FIRE-INTEGRATION-CANON-V8.md	Ki40/camera/deep-fire authority
9	CURRENT-HIGH	reinforcement/HOT reserve	50-CURRENT-1939-1941-AIRPOWER-AUDIT/54-NOMONHAN-REINFORCEMENT-HOT-RESERVE-CANON-V8.md	external reinforcement/readiness authority incl Aug22 1/27 closure
10	CURRENT-HIGH	capability preflight	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	mandatory before capability changes
11	CURRENT-HIGH	terminology/supersession	TERMINOLOGY-AND-SUPERSESSION-GUARD-V8.tsv	global no-backflow guard
12	CURRENT-HIGH	state-machine	50-CURRENT-1939-1941-AIRPOWER-AUDIT/10-HANDOFF-STATE-MACHINE-CANON-V8.md	rollback/replay semantics
13	CURRENT-HIGH	identity guard	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md	same designation != same hardware/effect
14	CURRENT-HIGH	fire control	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md	same weapon != same fire effect
15	CURRENT-HIGH	piston exhaust	50-CURRENT-1939-1941-AIRPOWER-AUDIT/49-PISTON-EXHAUST-ENERGY-RECOVERY-CANON-V8.md	EX-state authority
16	CURRENT	historical vehicle delta	50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md	installed/QC/readiness delta routed through49-54
17	CURRENT	company Apr20 state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/39-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-CANON-V8.md	physical/organizational carry-in
90	BASE	FULL V6 extracted	01-BASE-V6/	prior branch baseline/provenance, not automatic current
99	ARCHIVE	original V6 zip	02-ORIGINAL-V6-ARCHIVE/	verbatim archive
