authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-CURRENT.md	V18 current pointer
0.01	PACKAGE-CONTROL	machine current state	PACKAGE-STATE-V18.tsv	V18 machine-readable state
0.02	PACKAGE-CONTROL	terminology/supersession guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V18.tsv	V18 status, future-shadow, protagonist, range/accuracy guards
0.021	PACKAGE-CONTROL	V18 changelog	V18-CHANGELOG-WATER-SEAPLANE-SUBMARINE-SEIRAN-CONSOLIDATION.md	Summary of V18 additions
0.022	PACKAGE-CONTROL	V18 validation report	V18-VALIDATION-REPORT.md	Base preservation and package checks
0.023	PACKAGE-CONTROL	V18 package inventory	PACKAGE-INVENTORY-V18.tsv	File inventory
0.024	PACKAGE-CONTROL	V18 SHA256 manifest	FULL-PACKAGE-MANIFEST-SHA256-V18.tsv	Per-file size/hash manifest (hash artifacts excluded)
0.025	PACKAGE-CONTROL	V18 SHA256 sums	SHA256SUMS-V18.txt	Plain SHA256 list (hash artifacts excluded)
0.03	CURRENT-HIGHEST	V18 session handoff	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/00-SESSION-HANDOFF-V18.md	Highest V18 technical/session authority; replay clock unchanged
0.04	CURRENT-HIGHEST	V18 decision register	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/01-CONSOLIDATED-DECISION-REGISTER-V18.tsv	Explicit statuses and guards
0.05	CURRENT-MANDATORY	protagonist cheat/authority guard	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/02-PROTAGONIST-CHEAT-AND-AUTHORITY-GUARD-V18.md	Prevents ruler drift and manager-only drift
0.06	CURRENT-HIGHEST	water-aircraft summary	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/03-WATER-AIRCRAFT-CLOSEOUT-SUMMARY-V18.md	E15K/Kyofu/Zuiun/flying-boat technical consolidation
0.07	CURRENT-HIGHEST	submarine/I400/Seiran summary	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/04-SUBMARINE-I400-SEIRAN-CLOSEOUT-SUMMARY-V18.md	Submarine inheritance, Yamamoto branch, Seiran technical closeout
0.08	CURRENT-WORKING	fighter side branch summary	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/05-FIGHTER-SIDE-BRANCH-SUMMARY-V18.md	A6M/J2M/N1K implications generated by water-aircraft work
0.09	CURRENT-NEXT	V18 open items	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/06-OPEN-ITEMS-AND-NEXT-GATES-V18.tsv	Remaining technical/procurement gates
0.10	CURRENT-HIGHEST	V18 branch guard/clocks	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/07-BRANCH-GUARD-AND-CURRENT-CLOCKS-V18.md	Future technical shadow != history
0.11	PACKAGE-CONTROL	V18 coverage checklist	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/08-TOPIC-COVERAGE-CHECKLIST-V18.tsv	Coverage and remaining gaps
0.20	INHERITED-MASTER	V17 master index	CURRENT-MASTER-FILE-INDEX-V17.tsv	Use for inherited V17/V16/V14/V10/V9/V8 authorities where V18 is silent
0.21	CURRENT-V17	V17 session handoff	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/00-SESSION-HANDOFF-V17.md	Retained for untouched naval/torpedo/CRP subjects
0.30	CURRENT-REPLAY	V16 replay handoff	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/00-SESSION-HANDOFF-V16.md	Highest replay-state authority through 1940-07-31
