authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-CURRENT.md	V17 current pointer
0.01	PACKAGE-CONTROL	machine current state	PACKAGE-STATE-V17.tsv	V17 machine-readable state
0.02	PACKAGE-CONTROL	terminology/supersession guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V17.tsv	V17 status and CRP guard
0.021	PACKAGE-CONTROL	V17 changelog	V17-CHANGELOG-NAVAL-CRP-CONSOLIDATION.md	Summary of V17 additions
0.022	PACKAGE-CONTROL	V17 validation report	V17-VALIDATION-REPORT.md	Base preservation and package checks
0.023	PACKAGE-CONTROL	V17 package inventory	PACKAGE-INVENTORY-V17.tsv	File inventory
0.024	PACKAGE-CONTROL	V17 SHA256 manifest	FULL-PACKAGE-MANIFEST-SHA256-V17.tsv	Per-file size/hash manifest
0.025	PACKAGE-CONTROL	V17 SHA256 sums	SHA256SUMS-V17.txt	Plain SHA256 list
0.03	CURRENT-HIGHEST	V17 session handoff	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/00-SESSION-HANDOFF-V17.md	Highest technical/session authority; replay clock unchanged
0.04	CURRENT-HIGHEST	V17 decision register	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/01-CONSOLIDATED-DECISION-REGISTER-V17.tsv	Explicit current/working/reopen/gate statuses
0.05	CURRENT-HIGH	China/Indochina/US working closeout	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/02-CHINA-INDOCHINA-US-SANCTIONS-WORKING-CLOSEOUT-V1.md	No replay-clock advance
0.06	CURRENT-HIGHEST	submarine consolidation	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/03-SUBMARINE-TECHNICAL-AND-PROCUREMENT-CONSOLIDATION-V1.md	Submarine machinery/procurement closeout
0.07	CURRENT-HIGHEST	submarine Type95/FCS closeout	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/04-SUBMARINE-TORPEDO-FIRE-CONTROL-CLOSEOUT-V1.md	FCS1-3 and practical-range guard
0.08	CURRENT-HIGHEST	Type91 aerial torpedo consolidation	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/05-AERIAL-TORPEDO-TYPE91-CONSOLIDATION-V1.md	Retains V10 release/qualification bands
0.09	CURRENT-HIGHEST	surface Type93 integration	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/06-SURFACE-TYPE93-EMPLOYMENT-AND-SHIP-INTEGRATION-CLOSEOUT-V1.md	System employment, not body uplift
0.10	CURRENT-HIGHEST	surface fleet/shadow carrier audit	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/07-SURFACE-FLEET-ARCHITECTURE-AND-SHADOW-CARRIER-AUDIT-V1.md	Preserves V14 carrier-GT rejection
0.11	CURRENT-HIGHEST	auxiliary fleet closeout	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/08-AUXILIARY-FLEET-REPAIR-REPLENISHMENT-CLOSEOUT-V1.md	Akashi/Mizuho/Nisshin/replenishment
0.12	CURRENT-HIGHEST	marine diesel consolidation	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/09-MARINE-DIESEL-CONSOLIDATION-V1.md	Ownership/Type11/Type13/Yamato/Taiho guard
0.13	CURRENT-HIGHEST	CRP common technology closeout	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/10-CONTRA-ROTATING-PROPELLER-COMMON-TECHNOLOGY-CLOSEOUT-V1.md	Reopens old deterministic E15K->N1K fallback
0.14	CURRENT-NEXT	E15K Shiun next gate	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/11-E15K-SHIUN-NEXT-GATE-V1.md	Next principal technical audit
0.15	CURRENT-NEXT	V17 open items	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/12-OPEN-ITEMS-AND-NEXT-GATES-V17.tsv	Future decisions only
0.16	CURRENT-HIGHEST	V17 branch guard/clocks	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/13-BRANCH-GUARD-AND-CURRENT-CLOCKS-V17.md	Replay clock stays 1940-07-31
0.17	PACKAGE-CONTROL	V17 topic coverage	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/14-V17-TOPIC-COVERAGE-CHECKLIST.tsv	Coverage audit
0.18	PROVENANCE	V17 historical anchor notes	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/15-HISTORICAL-ANCHOR-NOTES-V17.md	Historical constraints/provenance only
0.20	CURRENT-REPLAY	V16 replay handoff	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/00-SESSION-HANDOFF-V16.md	Highest replay-state authority through 1940-07-31
0	PROVENANCE-V16	start	00-START-HERE-CURRENT.md	V16 current pointer
0.01	PROVENANCE-V16	machine current state	PACKAGE-STATE-V16.tsv	V16 machine-readable state
0.02	PROVENANCE-V16	terminology/supersession guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V16.tsv	V16 status and counting guard
0.021	PROVENANCE-V16	V16 changelog	V16-CHANGELOG-THREAD-CONSOLIDATION.md	Summary of V16 additions
0.022	PROVENANCE-V16	V16 validation report	V16-VALIDATION-REPORT.md	Base preservation and pointer/TSV checks
0.023	PROVENANCE-V16	V16 package inventory	PACKAGE-INVENTORY-V16.tsv	File inventory with inherited/new/modified role
0.024	PROVENANCE-V16	V16 SHA256 manifest	FULL-PACKAGE-MANIFEST-SHA256-V16.tsv	Per-file size/hash manifest
0.025	PROVENANCE-V16	V16 SHA256 sums	SHA256SUMS-V16.txt	Plain SHA256 list
0.03	CURRENT-REPLAY	V16 session handoff	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/00-SESSION-HANDOFF-V16.md	Current replay/router authority through 1940-07-31
0.04	CURRENT-REPLAY	V16 decision register	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/01-CONSOLIDATED-DECISION-REGISTER-V16.tsv	Explicit current/working/gate/analysis statuses
