authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-CURRENT.md	V10 current pointer
1	PACKAGE-CONTROL	machine current state	PACKAGE-STATE-V10.tsv	V10 machine-readable state
2	CURRENT-HIGHEST	session handoff	77-CURRENT-2026-09-07-SESSION-CLOSE/00-SESSION-HANDOFF-V10.md	current session decisions
3	CURRENT-HIGHEST	next gate	77-CURRENT-2026-09-07-SESSION-CLOSE/01-NEXT-GATE-1940-WEAPONS-REVIEW-V10.md	do not advance 1940 before review
4	CURRENT-HIGHEST	correction register	77-CURRENT-2026-09-07-SESSION-CLOSE/02-CORRECTION-REGISTER-V10.tsv	post-V9 supersession/correction authority
5	CURRENT-HIGHEST	current clocks	77-CURRENT-2026-09-07-SESSION-CLOSE/03-CURRENT-CLOCKS-V10.tsv	China Dec31 / Nomonhan Aug31 / 1940 not started
6	CURRENT-HIGH	1938 retro airpower final	72-CURRENT-RETRO-AIRPOWER-1938-1939/ASAI-1938-RETRO-REPLAY-FINAL-CLOSEOUT-V2.md	supersedes post-V9 final V1
7	CURRENT-HIGH	1939 opening air OOB reconciliation	72-CURRENT-RETRO-AIRPOWER-1938-1939/ASAI-1939-09-17-AIRPOWER-OPENING-RECONCILIATION-V1.md	E5/Ki42 pure-addition correction
8	CURRENT-HIGH	Nomonhan final revision	73-CURRENT-NOMONHAN-REVISED-V10/ASAI-NOMONHAN-1939-08-24-31-FINAL-REVISION-V8.md	supersedes V9 terminal loss/outcome numbers where revised
9	CURRENT-HIGH	China post-Jun20 chronological replay	74-CURRENT-CHINA-1939-REPLAY-V10/	chronological current authority through Dec31
10	CURRENT-HIGH	post-Nomonhan China reallocation	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-1939-09-10-31-POST-NOMONHAN-CHINA-REALLOCATION-CLOSEOUT-V2.md	supersedes RETURN V1
11	CURRENT-HIGH	First Changsha final	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-FIRST-CHANGSHA-1939-10-01-09-FINAL-CLOSEOUT-V4.md	campaign closed
12	CURRENT-HIGH	1939 winter final	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-CHINA-1939-12-19-31-WINTER-OFFENSIVE-CENTRAL-NORTH-KUNLUN-V2.md	year-end checkpoint
13	CURRENT-HIGH	aux fuel/drop tanks	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-KI42-AUX-FUEL-DROP-TANK-CLOSEOUT-1937-1939-V1.md	fuel hardware explicit; no retro range multiplier
13.1	CURRENT-HIGH	E6 Twin performance/fuel/FRP rebase	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-J-JF-PERFORMANCE-FUEL-FRP-REBASELINE-1939-1940-V1.md	supersedes stale Twin4/Single2 evaluation-only planning; no combat-clock advance
13.10	CURRENT-HIGH	E6 Single performance/service-production	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md	closes 1939 first-flight gap, service performance, cost and 1940 serial-production posture
13.11	CURRENT-HIGH	E6 Single performance/procurement ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-LEDGER-V1.tsv	structured E6 Single 1939-40 values
13.12	CURRENT-HIGH	E5/E6 Navy recon-land attack / Type91 lineage	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-NAVAL-RECON-LAND-ATTACK-TORPEDO-LINEAGE-1938-1941-V1.md	closes Type98/Type0 naval naming, G4As torpedo derivative and 1941 Type91 high-speed qualification; no combat-clock advance
13.13	CURRENT-HIGH	Navy carrier attack/dive-bomber delta summary	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-NAVY-CARRIER-ATTACK-DIVE-BOMBER-DELTA-SUMMARY-1939-1942-V1.md	B5N2/D3A1 existing changes; B6N/B7A inheritance
13.13.21	CURRENT-HIGH	D3A1 piston/TP/dive-bombing closeout	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-COMPARATIVE-CLOSEOUT-1939-1941-V1.md	closes EX2 piston baseline, dive-bomb hit-realization bands, TP test-only decision and D4Y replacement opportunity gate
13.22	CURRENT-HIGH	D3A1 comparative/dive-bombing ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-LEDGER-V1.tsv	structured airframe/performance/release/hit/TP/replacement values
13.23	CURRENT-HIGH	G4M1 piston/TP/long-range attack closeout	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md	closes EX2 piston baseline, long-range torpedo role, level-bombing guard, TP rejection and ramp opportunity
13.24	CURRENT-HIGH	G4M1 comparative attack ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-LEDGER-V1.tsv	structured performance/radius/bombing/TP/replacement values
