authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-CURRENT.md	V21 current pointer
0.01	PACKAGE-CONTROL	machine current state	PACKAGE-STATE-V21.tsv	V21 machine-readable state
0.02	PACKAGE-CONTROL	terminology/supersession guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V21.tsv	V21 clocks/pact/perception guards
0.021	PACKAGE-CONTROL	V21 changelog	V21-CHANGELOG-1944-YEAREND-SOVIET-PACT-HANDOFF.md	V21 additions
0.03	CURRENT-HIGHEST	session handoff	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/00-SESSION-HANDOFF-V21.md	Highest V21 authority on explicit subject
0.04	CURRENT-HIGHEST	decision register	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/01-CONSOLIDATED-DECISION-REGISTER-V21.tsv	Highest V21 authority on explicit subject
0.05	CURRENT-HIGHEST	replay chronology	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/02-REPLAY-CHRONOLOGY-1942-09-01-1944-12-31-V21.md	Highest V21 authority on explicit subject
0.06	CURRENT-HIGHEST	global state	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/03-GLOBAL-STRATEGIC-STATE-1944-12-31-V21.md	Highest V21 authority on explicit subject
0.07	CURRENT-HIGHEST	Japan strategy	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/04-JAPAN-STRATEGIC-POSTURE-AND-HOLD-V21.md	Highest V21 authority on explicit subject
0.08	CURRENT-HIGHEST	Japan economy/China/Manchuria	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/05-JAPAN-ECONOMY-CHINA-MANCHURIA-OPIUM-V21.md	Highest V21 authority on explicit subject
0.09	CURRENT-HIGHEST	IJN/naval technical	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/06-IJN-FLEET-AIRCRAFT-MARINE-GT-1943-44-V21.md	Highest V21 authority on explicit subject
0.10	CURRENT-HIGHEST	IJA/air/ground/rotorcraft	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/07-IJA-AIR-GROUND-ROTORCRAFT-1943-44-V21.md	Highest V21 authority on explicit subject
0.11	CURRENT-HIGHEST	German/Soviet manpower/economy	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/08-GERMANY-USSR-WAR-ECONOMY-MANPOWER-V21.md	Highest V21 authority on explicit subject
0.12	CURRENT-HIGHEST	western politics	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/09-US-UK-FRANCE-ITALY-VICHY-POLITICS-V21.md	Highest V21 authority on explicit subject
0.13	CURRENT-HIGHEST	leader perception	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/10-LEADER-PERCEPTION-MODEL-1944-12-31-V21.md	Highest V21 authority on explicit subject
0.14	CURRENT-NEXT	NEXT pact gate	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/11-SOVIET-JAPANESE-NEUTRALITY-PACT-GATE-V21.md	Highest V21 authority on explicit subject
0.15	CURRENT-NEXT	open gates	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/12-OPEN-ITEMS-AND-NEXT-GATES-V21.tsv	Highest V21 authority on explicit subject
0.16	CURRENT-HIGHEST	branch guard	89-CURRENT-2026-09-16-1944-YEAREND-SOVIET-PACT-HANDOFF-V21/13-BRANCH-GUARD-AND-CURRENT-CLOCKS-V21.md	Highest V21 authority on explicit subject
0.20	CURRENT-INHERITED	V20 strategic/replay handoff	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/00-SESSION-HANDOFF-V20.md	Use for 1942-08-31 detail and subjects V21 does not explicitly replace
0.21	CURRENT-TECHNICAL	V18 water/submarine handoff	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/00-SESSION-HANDOFF-V18.md	Highest inherited detailed water/aircraft-submarine authority where V21 silent
0.22	CURRENT-INHERITED	V17 naval consolidation	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/00-SESSION-HANDOFF-V17.md	Detailed naval authority where V21 silent
0.23	CURRENT-INHERITED	V16 thread/fuel	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/00-SESSION-HANDOFF-V16.md	Fuel/industry/airpower support authority where V21 silent
0.24	CURRENT-INHERITED	V14 ground/naval close	81-CURRENT-2026-09-09-GROUND-VEHICLE-CLOSE/00-GROUND-VEHICLE-CLOSEOUT-HANDOFF-V14.md	Ground hardware authority where V21 silent
0.30	INHERITED-MASTER	V20 master index	CURRENT-MASTER-FILE-INDEX-V20.tsv	Use for all older inherited authorities where V21 silent
