key	value	status	authority
PACKAGE_VERSION	V15	CURRENT	00-START-HERE-CURRENT.md
V15_REVISION	AIRCRAFT-VISUAL-CLOSE1 + CGGEOMETRY1	CURRENT	V15-CHANGELOG-AIRCRAFT-VISUAL-CLOSE1-CGGEOMETRY1.md
V15_SCOPE	visual/outer-mold-line closure for current fictional airframes through 1941; no performance/procurement/combat-clock advance	CLOSED	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/00-AIRCRAFT-VISUAL-GEOMETRY-HANDOFF-V15.md
CURRENT_INTEGRITY_MANIFEST	FULL-PACKAGE-MANIFEST-SHA256-V15.tsv + SHA256SUMS-V15.txt	CURRENT	MACHINE-INTEGRITY-AUDIT-V15.md
VISUAL_AUTHORITY	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE	CURRENT	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/13-VISUAL-AUTHORITY-AND-SUPERSESSION-GUARD-V1.md
CG_LOCKED_AIRFRAME_ROWS	18 master geometry rows including AT-3 design-freeze and H1/H2 rotorcraft	CLOSED	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/01-CG-GEOMETRY-MASTER-V1.tsv
A7M_GAIFU_VISUAL	9.65m x 12.00m /25.0m2; 3.35m 4-blade; small tip fold; tailwheel carrier gear	CLOSED-VISUAL	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/07-NAVAL-GAIFU-SAKUFU-XTP-VISUAL-CLOSEOUT-V1.md
A8N_SAKUFU_VISUAL	11.40m x13.20m /31.0m2; fold y=3.50m -> ~7.0m folded; JF cold-bypass cascade only	CLOSED-VISUAL	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/07-NAVAL-GAIFU-SAKUFU-XTP-VISUAL-CLOSEOUT-V1.md
E6_SINGLE_VISUAL	9.20m x10.25m /17.5m2 rear-engine side-inlet OML; old 14.2m2 proxy superseded	CLOSED-VISUAL	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/06-E5-E6-JET-FAMILY-VISUAL-CLOSEOUT-V1.md
E6_TWIN_VISUAL	9.95m x10.90m /19.0m2 common two-seat OML; J/JF nacelle variants separated	CLOSED-VISUAL	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/06-E5-E6-JET-FAMILY-VISUAL-CLOSEOUT-V1.md
KI42_VISUAL	CG-OML reference closed; not represented as recovered factory drawing	CLOSED-VISUAL-GUARD	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/13-VISUAL-AUTHORITY-AND-SUPERSESSION-GUARD-V1.md
H1_H2_VISUAL	rotor/cabin/boom/gear architecture locked; no modern stabilization/sensor appearance	CLOSED-VISUAL	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/09-H1-H2-ROTORCRAFT-VISUAL-CLOSEOUT-V1.md
AT3_VISUAL	1941 formal-design OML frozen; 1941 first flight remains zero	CLOSED-DESIGN-VISUAL	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/05-P1-P2-MATERIAL-FAMILY-VISUAL-CLOSEOUT-V1.md
J2N_H3_HS3_E7_CLEAN_SHEET_VISUAL	final OML intentionally open until formal-airframe gate	CLOSED-NONCLOSE	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/12-CG-INTENTIONAL-OPEN-ITEMS-V1.tsv
COMBAT_CLOCK_ADVANCED	NO	CLOSED	V15-CHANGELOG-AIRCRAFT-VISUAL-CLOSE1-CGGEOMETRY1.md
