topic	intent	current_authority
retro aviation	reconstruct actual procurement/service fleets, not special-prototype scarcity	72-CURRENT-RETRO-AIRPOWER-1938-1939/
enemy adaptation	staged understanding and paid implementation; no instant adaptation	77-CURRENT-2026-09-07-SESSION-CLOSE/00-SESSION-HANDOFF-V10.md
better reconnaissance	also increases caution toward unobserved sectors	77-CURRENT-2026-09-07-SESSION-CLOSE/00-SESSION-HANDOFF-V10.md
Nomonhan comparison	compute NEW as delta from OLD V9; preserve OLD effects	73-CURRENT-NOMONHAN-REVISED-V10/
China cross-theater	historical drains baseline; only actual worldline-specific changes count	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-1939-09-10-31-POST-NOMONHAN-CHINA-REALLOCATION-CLOSEOUT-V2.md
1940	review appearance/fielding gates before resuming combat	76-CURRENT-1940-WEAPON-GATE-V10/
aerial torpedo effectiveness	count valid releases first; then run reliability + target geometry; no universal hit-rate scalar	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-CLOSEOUT-V1.md
dive bombing effectiveness	count target-area arrival / valid release before target-geometry hit band; no universal aircraft hit-rate scalar	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
long-range land attack	preserve range architecture when turbine conversion sacrifices mission radius; G3M/G4M/G4As are complementary rather than monotonic replacement	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
E-generation aircraft families	separate generation/core scale/backend/airframe/service fit; do not read one E-number as one engine or one aircraft	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-ENGINE-GENERATION-FAMILY-ARMY-NAVY-MATRIX-1937-1942-V1.md
old aircraft branch use	treat old branches as hypotheses/provenance; restore only after current technical and development gates	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/05-AIRCRAFT-RESEARCH-QUARANTINE-RULES-V1.md
aircraft naming	maintain existing naming/numbering guidelines; protected identities do not imply retroactive pre-gate codes	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/04-AIRCRAFT-DESIGNATION-GATE-LEDGER-V1.tsv
aircraft development history	reconstruct sponsor/manufacturer/prototype chronology before performance/OOB restoration	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/01-AIRCRAFT-DEVELOPMENT-CHRONOLOGY-1935-1941-V1.md
industrial feasibility	allow non-linear prewar core expansion and jet/JF bias where reduction-gear competition is avoided; keep local backend bottlenecks	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/07-INDUSTRIAL-CAPACITY-AND-T-AUX-CLOSEOUT-1939-1941-V1.md
next technical topic	audit helicopters/rotorcraft from development history before accepting old branch performance/service claims	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/08-NEXT-TOPIC-HELICOPTER-AUDIT-V1.md
Asai H1 helicopter	close Apr1939 piston-helicopter geometry/performance/inventory without service adoption	80-CURRENT-2026-09-08-HELICOPTER-CLOSE/01-H1-PISTON-HELICOPTER-CLOSEOUT-1932-1939-V1.md
