field	value
package	ASAI-WORLDLINE-HANDOFF-2026-09-05-FULL-V8-1939REPLAY3-NOMONHAN-A1-FIREOPTICS1
statefix	REPLAY3 current through 1939-06-27; FIREOPTICS1 promotes fire-control/sighting/bombing chain; EXHAUST1 IDENTITY1 NAVAL1 retained
furthest_prior_explored_clock	1939-09-01 00:00 / post-Nomonhan in older V6 branch
rollback_reason	aviation-history inconsistencies discovered after post-Nomonhan progression
current_revalidated_combat_checkpoint	1939-06-27 24:00
current_clock_semantics	active replay/canon checkpoint; NOT furthest point ever explored
combat_replay_status	ACTIVE_COMBAT_REPLAY
active_technical_domain	ON_DEMAND_ONLY - broad Apr20 technical/company reconstruction closed; create local audit only when an event materially requires an open input
aviation_audit_policy	broad audit complete for Apr20 replay; current technical closures remain inputs; capability does not auto-create procurement/adoption/history
base_v7_preserved	YES - preserved V7/V6 provenance trees retained; only current V8 overlay/status files explicitly documented in AIRPOWER3/AIRPOWER4/AIRPOWER5 changelogs are superseded/edited
highest_restart	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00-1939-04-20-RESTART-BASELINE-V8.md
mandatory_capability_preflight	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md
next_chronological_combat_gate_if_resumed	1939-06-28 to 06-30 command restriction + Yasuoka readiness audit; then July opening ground offensive
next_technical_candidate	NONE BLOCKING - local event-dependent audit only
next_technical_candidate_semantics	do not reopen broad engine/material/company capability absent a concrete contradiction or unpaid event gate
retreat_air_interdiction_1937_status	UNRESOLVED RETROACTIVE AUDIT - not an automatic blocker; propagate forward only if materially reopened
shiden_auto_flap_status	CORE QUESTION RESOLVED - see file 04; production quantities remain scenario-dependent
homare_status	quarter-level branch-neutral development/qualification closed through 1943Q1 in file 11; post-1943 fleet quality/TBO/quantity remain branch-dependent
fighter_performance_status	working quantitative authority in file 08; propeller chronology superseded by file 15 and aircraft chronology by file 16
v8_precedence	2026-09-05 REPLAY3/FIREOPTICS1 over NAVAL1/IDENTITY1/EXHAUST1 on explicit items; current combat authority Jun27
integrity_metadata	root V8 inventory/manifest/SHA256 rebuilt after REPLAY3 FIREOPTICS1 integration; verify against current tree
