authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-CURRENT.md	V20 current pointer
0.01	PACKAGE-CONTROL	machine current state	PACKAGE-STATE-V20.tsv	V20 machine-readable state
0.02	PACKAGE-CONTROL	terminology/supersession guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V20.tsv	V20 clocks/gates/perception guards
0.021	PACKAGE-CONTROL	V20 changelog	V20-CHANGELOG-1942-EURASIA-POLITICS-HANDOFF.md	V20 additions
0.03	CURRENT-HIGHEST	V20 session handoff	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/00-SESSION-HANDOFF-V20.md	Highest replay/strategic authority
0.04	CURRENT-HIGHEST	V20 decision register	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/01-CONSOLIDATED-DECISION-REGISTER-V20.tsv	Explicit current replay/working/open statuses
0.05	CURRENT-HIGHEST	V20 replay chronology	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/02-REPLAY-CHRONOLOGY-1941-06-01-1942-08-31-V20.md	Chronology spine through 1942-08-31
0.06	CURRENT-HIGHEST	Japan strategy/gates	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/03-JAPAN-STRATEGIC-POSTURE-AND-GATES-V20.md	North/south/neutrality strategic gates
0.07	CURRENT-HIGHEST	Kwantung/Soviet transfer ledger	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/04-KWANTUNG-OOB-AND-SOVIET-TRANSFER-LEDGER-V20.md	Unit-specific eastern fixation logic
0.08	CURRENT-HIGHEST	naval/air/shipbuilding	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/05-NAVAL-AIRPOWER-AND-SHIPBUILDING-V20.md	Carrier force/build policy and 1941 air audit correction
0.09	CURRENT-HIGHEST	marine GT/catapult gates	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/06-MARINE-GT-COMBINED-CYCLE-AND-CATAPULT-GATES-V20.md	Engineering gates/workbands
0.10	CURRENT-HIGHEST	economy	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/07-JAPAN-ECONOMY-PEACE-DIVIDEND-1941-42-V20.md	China-peace recovery under Kantokuen
0.11	CURRENT-HIGHEST	global war balance	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/08-GLOBAL-WAR-BALANCE-AFRICA-MIDDLE-EAST-V20.md	Africa/Middle East/US nonbelligerency branch
0.12	CURRENT-NEXT	leader perception model	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/09-LEADER-PERCEPTION-MODEL-AND-EURASIA-QUESTION-V20.md	Highest next political audit
0.13	CURRENT-NEXT	open items	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/10-OPEN-ITEMS-AND-NEXT-GATES-V20.tsv	Prioritized next gates
0.14	CURRENT-HIGHEST	branch guard/clocks	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/11-BRANCH-GUARD-AND-CURRENT-CLOCKS-V20.md	Replay/authority guards
0.15	PACKAGE-CONTROL	coverage checklist	88-CURRENT-2026-09-15-1942-EURASIA-POLITICS-HANDOFF-V20/12-TOPIC-COVERAGE-CHECKLIST-V20.tsv	Coverage/gaps
0.20	CURRENT-INHERITED	V19 strategic handoff	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/00-SESSION-HANDOFF-V19.md	Use for pre-June-1941 details and V19 subjects not explicitly superseded
0.21	CURRENT-TECHNICAL	V18 technical handoff	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/00-SESSION-HANDOFF-V18.md	Highest inherited technical authority where V20 silent
0.22	CURRENT-INHERITED	V16 fuel close	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/07-MIDDLE-DISTILLATE-DIESEL-GT-FUEL-INDUSTRY-CLOSEOUT-V1.md	Physical fuel doctrine/stock authority where V20 silent
0.23	CURRENT-INHERITED	V10 revised Nomonhan final	73-CURRENT-NOMONHAN-REVISED-V10/ASAI-NOMONHAN-1939-08-24-31-FINAL-REVISION-V8.md	1939 physical differential authority
0.30	INHERITED-MASTER	V19 master index	CURRENT-MASTER-FILE-INDEX-V19.tsv	Use for all inherited authorities where V20 silent
