authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-2026-09-01-FULL-V7.md	
1	CURRENT-HIGHEST	restart	10-CURRENT-1937-1938/00-1938-01-17-RESTART-BASELINE-V7.md	V6 1939 clock is on replay hold
2	CURRENT-HIGH	method	10-CURRENT-1937-1938/01-METHOD-AND-CAUSAL-GUARD-V7.md	
3	CURRENT-HIGH	1937 war rebase	10-CURRENT-1937-1938/10-1937-CHINA-WAR-REBASE-CANON-V7.md	supersedes conflicting old 1937 gate effects
3	CURRENT-HIGH	aviation rebase	20-AVIATION-1931-1938-REBASE/00-AVIATION-REBASE-CANON-1931-1938-V7.md	supersedes conflicting V6 1931-37 aviation dates/status
3	CURRENT-HIGH	radio/photo/air-ground	20-AVIATION-1931-1938-REBASE/02-PHOTO-RECON-RADIO-AIRGROUND-CANON-V7.md	
3	CURRENT-HIGH	GT production	20-AVIATION-1931-1938-REBASE/03-GT-PRODUCTION-FACILITY-REBASE-V7.md	T1A/B already operating by1937
4	CURRENT	equipment stock-flow	10-CURRENT-1937-1938/12-FORCE-EQUIPMENT-STOCKFLOW-AND-RECOVERY-V7.md	old repeated heavy-equipment % is not cumulative
4	CURRENT	Asai 1937 state	30-ASAI-1937-CLOSEOUT/00-ASAI-1937-11-19-STATE-AND-YEAREND-CARRYOVER-V7.md	
4	CURRENT	photo metadata plausibility	40-RESEARCH-AND-OPEN-ISSUES/01-PHOTO-METADATA-HISTORICAL-PLAUSIBILITY-NOTE-V7.md	
5	HARD-OPEN	retreat air interdiction	40-RESEARCH-AND-OPEN-ISSUES/00-HARD-OPEN-RETREAT-AIR-INTERDICTION-V7.md	resolve before assuming 1938 carryover final
10	REPLAY-HOLD	downstream V6	10-CURRENT-1937-1938/14-DOWNSTREAM-REPLAY-HOLD-V7.md	V6 1938-39 preserved as baseline, not automatic current
20	BASE	FULL V6 extracted	01-BASE-V6/	verbatim copy
90	ARCHIVE	original V6 zip	02-ORIGINAL-V6-ARCHIVE/	verbatim copy
