authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	start	00-START-HERE-CURRENT.md	V19 current pointer
0.01	PACKAGE-CONTROL	machine current state	PACKAGE-STATE-V19.tsv	V19 machine-readable state
0.02	PACKAGE-CONTROL	terminology/supersession guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V19.tsv	V19 clocks, peace, Barbarossa, transfer and fuel guards
0.021	PACKAGE-CONTROL	V19 changelog	V19-CHANGELOG-CHINA-PEACE-BARBAROSSA-HANDOFF.md	V19 additions
0.03	CURRENT-HIGHEST	V19 session handoff	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/00-SESSION-HANDOFF-V19.md	Highest replay/strategic authority
0.04	CURRENT-HIGHEST	V19 decision register	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/01-CONSOLIDATED-DECISION-REGISTER-V19.tsv	Explicit current replay/working/open statuses
0.05	CURRENT-HIGHEST	V19 replay chronology	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/02-REPLAY-CHRONOLOGY-1940-08-01-1941-05-31-V19.md	Chronology spine through 1941-05-31
0.06	CURRENT-HIGHEST	V19 China peace/US policy	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/03-CHINA-PEACE-US-POLICY-AND-DOMESTIC-NARRATIVE-V19.md	Peace terms, domestic narrative, US/DEI policy
0.07	CURRENT-NEXT	V19 Nomonhan->Barbarossa	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/04-NOMONHAN-TO-BARBAROSSA-HANDOFF-V19.md	Highest next strategic audit
0.08	CURRENT-HIGHEST	V19 fuel/oil strategic handoff	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/05-FUEL-OIL-AND-MIDDLE-DISTILLATE-STRATEGIC-HANDOFF-V19.md	Connects V16 fuel doctrine to 1941 sanctions/strategy
0.09	CURRENT-NEXT	V19 open items	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/06-OPEN-ITEMS-AND-NEXT-GATES-V19.tsv	Next gates
0.10	CURRENT-HIGHEST	V19 branch guard/clocks	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/07-BRANCH-GUARD-AND-CURRENT-CLOCKS-V19.md	Replay/transfer guards
0.11	PACKAGE-CONTROL	V19 coverage checklist	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/08-TOPIC-COVERAGE-CHECKLIST-V19.tsv	Coverage/gaps
0.12	SUPPORT	V19 current helper artifacts	87-CURRENT-2026-09-15-CHINA-PEACE-BARBAROSSA-HANDOFF-V19/99-SUPPORT-CURRENT	Audit/replay helpers; not automatic canon
0.20	CURRENT-TECHNICAL	V18 technical/session handoff	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/00-SESSION-HANDOFF-V18.md	Highest technical authority where V19 silent
0.21	CURRENT-INHERITED	V16 fuel close	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/07-MIDDLE-DISTILLATE-DIESEL-GT-FUEL-INDUSTRY-CLOSEOUT-V1.md	Physical fuel doctrine/stock authority
0.22	CURRENT-INHERITED	V10 revised Nomonhan final	73-CURRENT-NOMONHAN-REVISED-V10/ASAI-NOMONHAN-1939-08-24-31-FINAL-REVISION-V8.md	1939 physical differential authority
0.30	INHERITED-MASTER	V18 master index	CURRENT-MASTER-FILE-INDEX-V18.tsv	Use for all inherited authorities where V19 silent
