term	rule
CURRENT-CLOSE	Thread decision/replay event is current authority where explicitly listed
CURRENT-PLANNING	Accepted planning band; future realization remains replay-dependent
WORKING-CLOSE	Accepted accounting/sustainment value until dedicated closeout refines it
GATE	Future condition/decision; not a completed event
ANALYSIS-ONLY	Never auto-import into canon/OOB/losses
physical	Physically exists; does not imply accepted/service-released/assigned/ready/combat-present
accepted	Factory/arsenal accepted; does not imply service release
service-released	Eligible for normal unit use; does not imply theater assignment
assigned	Allocated to a unit/theater; does not imply ready
ready	Mission-ready at the stated time
combat-present	Actually present in the replayed combat event
logistics_delta	End-to-end system effect unless explicitly component-scoped; do not stack correlated percentages
loss_delta	Absorb into current unit state after each phase; do not reapply as future multiplier
